"diaper","[""hello"",""world"",""zombies"",""pants""]",""
"solemn","[""lemons"",""cherry"",""melons""]",""
"good","[""dog"",""goody""]",""
"listen","[""enlists"",""google"",""inlets"",""banana""]",""
"allergy","[""gallery"",""ballerina"",""regally"",""clergy"",""largely"",""leading""]",""
"nose","[""Eons"",""ONES""]",""
"mass","[""last""]",""
"Orchestra","[""cashregister"",""Carthorse"",""radishes""]",""
"Orchestra","[""cashregister"",""carthorse"",""radishes""]",""
"orchestra","[""cashregister"",""Carthorse"",""radishes""]",""
"go","[""goGoGO""]",""
"tapper","[""patter""]",""
"BANANA","[""BANANA""]",""
"BANANA","[""Banana""]",""
"BANANA","[""banana""]",""
"LISTEN","[""LISTEN"",""Silent""]",""
